name,breed,gender,age,weight,id,unavailable
,Labrador Retriever (mix),Male,8 months,40 lbs,11527,
,Labrador Retriever (mix),Male,2 years,60 lbs,11238,
,Shepherd (mix),Female,2 years,46 lbs,11407,
,Pointer - Pit Bull Terrier (mix),Female,3 years,43 lbs,11281,
,Labrador Retriever - Doberman Pinscher (mix),Female,1 year,35 lbs,11186,
,Labrador Retriever (mix),Female,8 weeks,10 lbs,11411,
,Labrador Retriever (mix),Male,8 weeks,10 lbs,11412,
,Labrador Retriever (mix),Female,8 weeks,10 lbs,11413,
,Labrador Retriever (mix),Female,8 weeks,10 lbs,11414,
,Labrador Retriever (mix),Female,8 weeks,10 lbs,11415,
,Labrador Retriever (mix),Female,3 years,52 lbs,11335,
,Labrador Retriever (mix),Male,11 months,41 lbs,11315,
,Labrador Retriever - Terrier (mix),Female,2 years,25 lbs,11538,
,Labrador Retriever (mix),Male,9 weeks,10 lbs,11539,
,Labrador Retriever (mix),Male,9 weeks,10 lbs,11540,
,Labrador Retriever (mix),Female,9 weeks,10 lbs,11541,
,Labrador Retriever (mix),Female,9 weeks,10 lbs,11542,
,Labrador Retriever (mix),Female,9 weeks,10 lbs,11543,
,Labrador Retriever (mix),Male,3 years,40 lbs,11440,
,Cattle Dog (mix),Male,8 months,30 lbs,11511,
,Terrier (mix),Male,1 year,49 lbs,11369,
,Labrador Retriever (mix),Female,7 months,40 lbs,11320,
,Labrador Retriever (mix),Female,7 months,40 lbs,11321,
,Labrador Retriever (mix),Female,8 months,30 lbs,11512,
,Labrador Retriever - Boxer (mix),Male,1 year,80 lbs,11115,
,Shepherd (mix),Female,1 year,42 lbs,11410,
,Labrador Retriever - Terrier (mix),Female,5 years,30 lbs,10888,
,Labrador Retriever (mix),Female,2 years,40 lbs,11409,
,Labrador Retriever (mix),Male,1 year,60 lbs,11282,
,Labrador Retriever - Terrier (mix),Female,1 year,35 lbs,11439,
