name,breed,gender,age,weight,id,unavailable
Orchard,Spaniel (mix),Female,2 years,30 lbs,11684,False
Orchard Pup - Apple Starr,Spaniel (mix),Female,7 weeks,6 lbs,11714,False
Orchard Pup - Calico,Spaniel (mix),Female,7 weeks,6 lbs,11715,False
Orchard Pup - Crosscut,Spaniel (mix),Male,7 weeks,6 lbs,11716,False
Orchard Pup - Julian,Spaniel (mix),Male,7 weeks,6 lbs,11717,False
Orchard Pup - Peacefield,Spaniel (mix),Female,7 weeks,6 lbs,11718,False
Orchard Pup - Ranch,Spaniel (mix),Female,7 weeks,6 lbs,11719,False
Orchard Pup - Smit,Spaniel (mix),Male,7 weeks,6 lbs,11720,False
Orchard Pup - Volcan,Spaniel (mix),Male,7 weeks,10 lbs,11721,False
Ouija,Labrador Retriever (mix),Female,1 year,41 lbs,11650,False
Paige - Waiting List Full,Terrier (mix),Female,2 years,15 lbs,11508,True
Parma - (Special Needs),Shepherd (mix),Female,2 years,40 lbs,11284,False
Pavlov Pup - Whistle,Shepherd (mix),Male,10 months,60 lbs,10706,False
Pellegrino - (Medical),Labrador Retriever - Terrier (mix),Female,1 year,38 lbs,11561,False
Perla - Adoption In Process,Shepherd (mix),Female,5 years,45 lbs,11675,False
Pita,Belgian Shepherd Malinois - Shepherd (mix),Female,3 years,55 lbs,11728,False
Platt - (Medical),Labrador Retriever (mix),Male,2 years,40 lbs,11667,False
Power Pup - Electric - Adopted!,Spaniel (mix),Male,8 weeks,3 lbs,11701,True
Power Pup - Nuclear,Spaniel (mix),Male,8 weeks,8 lbs,11702,False
Power Pup - Solar,Spaniel (mix),Female,8 weeks,7 lbs,11703,False
Rainier - (Special Needs),Labrador Retriever - Beagle (mix),Female,8 years,52 lbs,10164,False
Rambo,Labrador Retriever (mix),Male,7 months,32 lbs,11669,False
Reeves - (Medical),Shepherd - Terrier (mix),Male,4 months,20 lbs,11634,False
Silvio,Doberman Pinscher (mix),Male,6 years,55 lbs,11739,False
Sleet,Shepherd - Terrier (mix),Male,3 months,10 lbs,11736,False
Slinky,Boxer (mix),Female,2 years,38 lbs,11811,False
Sofee,Labrador Retriever - American Staffordshire Terrier (mix),Female,4 years,51 lbs,11546,False
Sosy,Shepherd - Terrier (mix),Female,2 years,40 lbs,11749,False
Talcum - (Medical),Labrador Retriever - Terrier (mix),Female,2 years,40 lbs,11683,False
Talcum Pup - Ceramic,Labrador Retriever - Terrier (mix),Female,7 weeks,7 lbs,11685,False
Talcum Pup - Gold Bond,Labrador Retriever - Terrier (mix),Male,7 weeks,7 lbs,11687,False
Talcum Pup - Magnesium,Labrador Retriever - Terrier (mix),Male,7 weeks,7 lbs,11688,False
Talcum Pup - Maja,Labrador Retriever - Terrier (mix),Female,7 weeks,7 lbs,11689,False
Talcum Pup - Nivea,Labrador Retriever - Terrier (mix),Female,7 weeks,3 lbs,11690,False
Talcum Pup - Powder,Labrador Retriever - Terrier (mix),Female,7 weeks,7 lbs,11691,False
Talcum Pup - Soapstone,Labrador Retriever - Terrier (mix),Male,7 weeks,7 lbs,11692,False
Tofu,Cattle Dog (mix),Male,3 years,35 lbs,11630,False
Tucker Boy - (Medical),Labrador Retriever - Weimaraner (mix),Male,7 months,56 lbs,11733,False
Winery - Waiting List Full,Hound - Labrador Retriever (mix),Female,2 years,35 lbs,11570,True
Winery Pup - Campovida,Labrador Retriever - Hound (mix),Female,9 weeks,7 lbs,11652,False
Winery Pup - Dashe - Adopted!,Labrador Retriever - Hound (mix),Female,9 weeks,7 lbs,11653,True
Winery Pup - Fogarty - Adopted!,Labrador Retriever - Hound (mix),Male,9 weeks,7 lbs,11654,True
Winery Pup - Giornatta - Adopted!,Labrador Retriever - Hound (mix),Female,9 weeks,7 lbs,11655,True
Winery Pup - Pennyroyal - Adopted!,Labrador Retriever - Hound (mix),Female,9 weeks,7 lbs,11656,True
Winery Pup - Stolo - Adopted!,Labrador Retriever - Hound (mix),Male,9 weeks,7 lbs,11657,True
Wisconsin,Shepherd - Pharaoh Hound (mix),Female,11 months,40 lbs,11666,False
Wisconsin Pup - Elderon - Adoption In Process,Shepherd - Border Collie (mix),Male,8 weeks,8 lbs,11704,False
Wisconsin Pup - Fredonia - Adoption In Process,Shepherd - Border Collie (mix),Female,8 weeks,6 lbs,11705,False
Wisconsin Pup - Hatley - Adoption In Process,Shepherd - Border Collie (mix),Male,8 weeks,5 lbs,11706,False
Wisconsin Pup - Kaukauna - Adoption In Process,Shepherd - Border Collie (mix),Female,8 weeks,7 lbs,11707,False
Wisconsin Pup - Kewaunee - Adoption In Process,Shepherd - Border Collie (mix),Female,8 weeks,7 lbs,11708,False
Wisconsin Pup - Marquette - Adoption In Process,Shepherd - Border Collie (mix),Male,8 weeks,5 lbs,11709,False
Wisconsin Pup - Minocqua,Shepherd - Border Collie (mix),Female,8 weeks,10 lbs,11710,False
Wisconsin Pup - Nashotah - Adoption In Process,Shepherd - Border Collie (mix),Female,8 weeks,6 lbs,11711,False
Wisconsin Pup - Shawno,Shepherd - Border Collie (mix),Male,8 weeks,6 lbs,11712,False
Wisconsin Pup - Waupaca - Adoption In Process,Shepherd - Border Collie (mix),Female,8 weeks,6 lbs,11713,False
Wrangler,Labrador Retriever - Pointer (mix),Male,1 year,58 lbs,11589,False
Yoda,Labrador Retriever - American Staffordshire Terrier (mix),Male,3 years,54 lbs,11751,False
Zinc,Terrier - Pointer (mix),Female,2 years,32 lbs,11531,False
Asteroid - Adopted!,Labrador Retriever - Cattle Dog (mix),Female,3 years,28 lbs,11632,True
Baleen - Adopted!,Labrador Retriever - Terrier (mix),Female,9 weeks,7 lbs,11648,True
Camera (Medical),Spaniel - Chihuahua (mix),Female,2 years,18 lbs,11525,False
Camera Pup - Lens - Adopted!,Spaniel - Shepherd (mix),Female,10 weeks,13 lbs,11601,True
Camera Pup - Shutter - Adopted!,Spaniel - Shepherd (mix),Male,10 weeks,11 lbs,11603,True
Chile - Adopted!,Shepherd - Terrier (mix),Female,2 years,33 lbs,11432,True
Faith Pup - Creed - Adopted!,Spaniel (mix),Male,11 weeks,6 lbs,11571,True
Fantasy Pup - Hogwarts - Adopted!,Labrador Retriever (mix),Female,6 months,30 lbs,11593,True
Gable Pup - Butterfly - Adopted!,Labrador Retriever - Terrier (mix),Female,9 weeks,10 lbs,11621,True
Gable Pup - Dormer - Adopted!,Labrador Retriever - Terrier (mix),Female,9 weeks,10 lbs,11622,True
Gable Pup - Mansard - Adopted!,Labrador Retriever - Terrier (mix),Male,9 weeks,10 lbs,11626,True
Gary - Adopted!,Labrador Retriever - Shepherd (mix),Male,9 years,79 lbs,10525,True
Icicle - Adopted!,Shepherd - Terrier (mix),Female,3 months,10 lbs,11737,True
